# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	7560
#@/user_id	fedc3d7a-10a1-40a4-8722-dc6db483d2ef
a 	啊	c=15 d=1.74342 t=7560
a li 	阿里	c=2 d=0.00139481 t=7560
a yi 	阿姨	c=1 d=0.00425356 t=7560
ai 	愛	c=1 d=0.0254765 t=7560
ai hao 	愛好	c=1 d=0.108067 t=7560
an 	按	c=14 d=1.09775 t=7560
an li 	安利	c=1 d=0.0186856 t=7560
an ning 	安寧	c=1 d=0.00308872 t=7560
an quan 	安全	c=2 d=0.0161751 t=7560
an quan zu 	安全組	c=66 d=1.96024 t=7560
an shun xu 	按順序	c=1 d=0.00103848 t=7560
an zhuang 	安裝	c=15 d=0.790571 t=7560
an zhuo 	安卓	c=1 d=0.722527 t=7560
ao 	奧	c=3 d=0.0134584 t=7560
ba 	吧	c=32 d=1.08736 t=7560
ba 	把	c=20 d=2.30373 t=7560
ba 	爸	c=1 d=0.00366107 t=7560
ba dian 	八點	c=1 d=2.75411e-07 t=7560
bai du 	百度	c=5 d=3.38629e-05 t=7560
bai ming dan 	白名單	c=1 d=1 t=1021
ban 	板	c=1 d=0.000668817 t=7560
ban 	版	c=2 d=0.860708 t=7560
ban 	般	c=2 d=0.180191 t=7560
ban ben 	版本	c=37 d=1.76375 t=7560
ban fa 	辦法	c=2 d=0.103312 t=7560
ban ge 	半個	c=3 d=0.168578 t=7560
ban gong wang 	辦公網	c=1 d=9.66427e-11 t=7560
ban ye 	半夜	c=1 d=0.00708341 t=7560
bang 	幫	c=3 d=0.00624226 t=7560
bang 	綁	c=1 d=1.58542e-10 t=7560
bang ding 	綁定	c=19 d=0.62902 t=7560
bang mang 	幫忙	c=1 d=0.276651 t=7560
bang wo 	幫我	c=1 d=0.000728153 t=7560
bang zhu 	幫助	c=1 d=1 t=852
bao 	包	c=7 d=0.0064425 t=7560
bao 	報	c=3 d=1.01448 t=3730
bao 	寶	c=1 d=1 t=2421
bao cuo 	報錯	c=11 d=0.24823 t=7560
bao dao 	報道	c=1 d=3.69975e-09 t=7560
bao ding 	保定	c=1 d=1 t=2738
bao gao 	報告	c=1 d=1 t=2647
bao ge 	寶哥	c=15 d=0.867137 t=7560
bao han 	包含	c=1 d=2.449e-08 t=7560
bao jing 	報警	c=3 d=1.52469 t=719
bao kuo 	包括	c=3 d=0.813185 t=7560
bao lei ji 	堡壘機	c=3 d=0.602874 t=7560
bao liu 	保留	c=1 d=0.00101791 t=7560
bao lu 	暴露	c=5 d=2.0316 t=2063
bao nian bao yue 	包年包月	c=1 d=1 t=590
bao yue 	包月	c=0 d=0.1 t=589
bao zheng 	保證	c=2 d=0.831104 t=7560
bei 	唄	c=3 d=0.844811 t=7560
bei 	被	c=3 d=0.110525 t=7560
bei fen 	備份	c=26 d=0.13159 t=7560
bei jing 	北京	c=18 d=0.0716354 t=7560
bei jing 	背景	c=1 d=0.0246002 t=7560
bei ju 	悲劇	c=1 d=0.0301974 t=7560
bei zhu 	備註	c=1 d=0.000204488 t=7560
ben 	本	c=1 d=0.822835 t=7560
ben ci 	本次	c=1 d=2.62613e-06 t=7560
ben di 	本地	c=3 d=0.000479592 t=7560
ben di zhi xing 	本地執行	c=1 d=0.00481991 t=7560
ben lai 	本來	c=1 d=0.83527 t=7560
ben shen 	本身	c=1 d=0.044601 t=7560
beng kui 	崩潰	c=1 d=0.244143 t=7560
bi 	比	c=2 d=0.0010473 t=7560
bi bei 	必備	c=1 d=1 t=260
bi ji 	筆記	c=2 d=0.818731 t=7560
bi jiao 	比較	c=6 d=0.144714 t=7560
bi jiao hao qi 	比較好奇	c=1 d=0.162026 t=7560
bi jing 	畢竟	c=4 d=0.436743 t=7560
